Detector-Descriptor,Img0-Img1,Img1-Img2,Img2-Img3,Img3-Img4,Img4-Img5,Img5-Img6,Img6-Img7,Img7-Img8,Img8-Img9
SHITOMASI+BRISK,13.1285,13.309,13.1589,13.0099,13.5687,13.2035,13.1342,15.6141,13.301
SHITOMASI+SIFT,26.0173,22.3517,24.7786,30.4993,33.0135,30.7677,25.4839,33.3103,26.904
SHITOMASI+BRIEF,12.5827,11.7832,12.0316,11.0929,12.4584,12.2853,11.9628,11.9594,11.7697
SHITOMASI+ORB,12.7576,12.5333,12.4784,11.7719,12.6318,12.7146,12.6998,12.5714,12.7646
SHITOMASI+FREAK,52.69,49.4077,49.4973,49.0508,49.8873,50.5111,49.552,48.9813,48.7441

HARRIS+BRISK,12.2336,12.2077,12.2997,13.2853,27.208,12.2894,15.1191,13.1947,17.537
HARRIS+SIFT,27.6878,28.7446,29.2403,29.6763,46.4748,28.934,32.8375,30.0456,35.5025
HARRIS+BRIEF,13.2323,12.6977,12.7322,13.3431,30.1524,11.3382,13.8319,12.4249,19.9651
HARRIS+ORB,12.924,16.3959,14.2869,15.1284,32.2835,12.6685,16.9491,14.9475,19.9303
HARRIS+FREAK,53.3814,54.2175,52.7776,52.9208,67.7368,54.21,55.2843,53.3414,58.2586

FAST+BRISK,2.35527,2.31218,2.35204,2.31503,2.2928,2.36791,2.32175,2.20994,2.26136
FAST+SIFT,17.8394,16.8609,16.2019,17.7318,17.5042,16.6487,17.0397,16.4477,17.7544
FAST+BRIEF,1.70585,1.58083,2.11431,1.38067,1.36378,1.41216,1.39483,1.35306,1.40771
FAST+ORB,2.2247,2.22412,2.22403,2.13593,2.14279,2.17905,2.14455,2.08255,2.16857
FAST+FREAK,41.7827,40.7842,40.7023,40.7066,40.735,40.8353,41.044,40.6558,41.4395

BRISK+BRISK,40.0283,39.7828,41.1509,39.7698,39.4125,39.6886,38.9971,38.9999,38.884
BRISK+SIFT,66.0905,67.4732,68.7998,67.4933,65.9005,67.2477,65.653,67.3279,66.417
BRISK+BRIEF,38.869,37.698,37.0653,37.5683,37.4908,37.9672,36.5882,37.2087,36.7807
BRISK+ORB,42.1087,41.8793,42.7464,41.6169,41.6105,42.4081,59.0276,41.515,41.6339
BRISK+FREAK,85.414,77.9044,79.8096,80.243,94.8219,78.7518,79.8561,79.5086,78.9164

ORB+BRISK,7.2339,7.88199,7.47617,7.10759,8.06525,7.23989,7.25182,7.66991,7.36272
ORB+SIFT,41.3946,40.6793,44.6555,40.9748,41.7656,44.4978,42.5668,46.6283,44.491
ORB+BRIEF,6.52573,6.33814,6.16986,6.17947,6.80797,6.23789,6.90196,6.27703,6.53773
ORB+ORB,11.6916,11.1279,11.7245,11.1693,10.8429,11.9091,11.2032,11.8487,11.1744
ORB+FREAK,45.8976,45.0199,45.8331,47.4342,47.5287,45.9401,46.781,46.6579,46.0708

AKAZE+BRISK,54.6065,53.9991,55.7217,57.658,54.4188,57.0002,55.0555,55.6808,55.3102
AKAZE+SIFT,79.3407,75.4408,74.9141,83.6945,81.9411,91.8101,80.0808,78.174,74.4001
AKAZE+BRIEF,56.4699,60.569,54.9629,58.3464,56.2231,57.6335,56.1166,60.3172,59.2676
AKAZE+ORB,74.4241,77.9314,73.1833,65.4658,64.0557,63.4588,61.4586,60.9897,58.1518
AKAZE+FREAK,105.385,100.1,95.1083,99.0402,103.016,97.1255,102.691,102.576,96.7826
AKAZE+AKAZE,104.794,104.907,98.4862,106.778,111.064,101.623,109.512,112.258,109.993

SIFT+BRISK,102.169,102.201,129.395,134.544,101.97,105.011,108.143,102.57,101.475
SIFT+SIFT,169.842,206.067,202.94,201.206,203.919,183.29,165.176,166.684,204.467
SIFT+BRIEF,107.844,108.719,110.708,109.786,132.228,121.942,113.521,110.463,110.658
SIFT+FREAK,157.648,156.661,162.119,155.2,152.997,151.11,152.454,151.634,152.957

SURF+BRISK,40.0747,40.5464,41.8676,41.5106,40.9544,40.8381,44.4254,47.0836,41.2833
SURF+SIFT,82.1027,78.5533,83.7577,85.3056,85.0126,92.7631,87.0581,89.1813,88.1905
SURF+BRIEF,41.5167,38.6977,37.9348,47.268,54.8604,45.8125,39.847,41.2804,41.1292
SURF+ORB,43.8856,45.6919,44.6208,42.5897,45.0781,46.1525,44.1356,43.8541,44.5706
SURF+FREAK,81.4775,81.2331,79.5257,82.718,81.8593,79.3626,83.3466,82.614,81.3424

