Detector-Descriptor,Img0-Img1,Img1-Img2,Img2-Img3,Img3-Img4,Img4-Img5,Img5-Img6,Img6-Img7,Img7-Img8,Img8-Img9
SHITOMASI+BRISK,95,88,80,90,82,79,85,86,82
SHITOMASI+SIFT,112,109,104,103,99,101,96,106,97
SHITOMASI+BRIEF,115,111,104,101,102,102,100,109,100
SHITOMASI+ORB,106,102,99,102,103,97,98,104,97
SHITOMASI+FREAK,86,90,86,88,86,80,81,86,85

HARRIS+BRISK,12,10,14,16,16,17,15,22,21
HARRIS+SIFT,14,11,16,20,21,23,13,24,23
HARRIS+BRIEF,14,11,16,21,23,28,16,25,24
HARRIS+ORB,12,12,15,19,23,21,15,25,23
HARRIS+FREAK,13,12,15,16,16,21,12,21,19

FAST+BRISK,97,104,101,98,85,107,107,100,100
FAST+SIFT,118,123,110,119,114,119,123,117,103
FAST+BRIEF,119,130,118,126,108,123,131,125,119
FAST+ORB,118,123,112,126,106,122,122,123,119
FAST+FREAK,98,99,91,98,85,99,102,101,105

BRISK+BRISK,171,176,157,176,174,188,173,171,184
BRISK+SIFT,182,193,169,183,171,195,194,176,183
BRISK+BRIEF,178,205,185,179,183,195,207,189,183
BRISK+ORB,162,175,158,167,160,182,167,171,172
BRISK+FREAK,160,177,155,173,161,183,169,178,168

ORB+BRISK,73,74,79,86,79,92,89,88,91
ORB+SIFT,67,79,78,79,82,95,94,94,94
ORB+BRIEF,49,43,45,59,53,78,67,84,65
ORB+ORB,67,70,72,84,91,101,91,93,91
ORB+FREAK,42,36,44,47,44,51,52,48,56

AKAZE+BRISK,137,125,129,129,131,132,142,146,144
AKAZE+SIFT,134,134,130,136,137,147,147,154,151
AKAZE+BRIEF,141,134,131,130,134,146,150,148,152
AKAZE+ORB,131,129,127,117,130,131,137,135,145
AKAZE+FREAK,126,129,127,121,122,133,144,147,138
AKAZE+AKAZE,138,138,133,127,129,146,147,151,150

SIFT+BRISK,64,66,62,66,59,64,64,67,80
SIFT+SIFT,82,81,85,93,90,81,82,102,104
SIFT+BRIEF,86,78,76,85,69,74,76,70,88
SIFT+FREAK,65,72,64,66,59,59,64,65,79

SURF+BRISK,117,126,119,118,110,137,137,129,126
SURF+SIFT,121,118,129,125,119,148,151,152,145
SURF+BRIEF,121,133,124,134,119,147,146,141,142
SURF+ORB,116,120,113,121,109,133,149,131,125
SURF+FREAK,107,112,102,103,95,117,117,117,120

